date,prev_date,code,continuous_symbol,contract,old_contract,roll_flag,open,high,low,close,volume,oi,open_oi,prev_same_open,prev_same_high,prev_same_low,prev_same_close,prev_same_volume,prev_same_oi,prev_same_open_oi,prev_active_open,prev_active_high,prev_active_low,prev_active_close,prev_active_volume,prev_active_oi,prev_active_open_oi,next_date,next_same_open,next_same_high,next_same_low,next_same_close,next_same_volume,next_same_oi,next_same_open_oi,return_link_ok,stitched_return,stitched_log_return,open_from_prev_return,open_from_prev_log,high_from_prev_return,high_from_prev_log,low_from_prev_return,low_from_prev_log,close_from_prev_return,close_from_prev_log,intraday_return,intraday_log_return,log_high_low_range,naive_mapped_log_return,roll_basis_log,roll_basis_return,return_decomposition_error,linked_prev_close,linked_factor,linked_open,linked_high,linked_low,linked_close,linked_log_return,linked_return_error,volume_same_log_change,oi_same_log_change,open_oi_same_log_change,is_roll,days_since_roll,target_next_main_log_return,target_next_main_return,target_hold_current_log_return,target_hold_current_return,target_next_open_close_log_return,target_next_open_close_return,target_next_open_gap_log,forward_label_available
2016-08-01,2016-07-29,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14505.0,14920.0,14465.0,14765.0,449694.0,216739.0,226395.0,14900.0,14975.0,14545.0,14545.0,532180.0,226395.0,227998.0,14900.0,14975.0,14545.0,14545.0,532180.0,226395.0,227998.0,2016-08-02,14710.0,14875.0,14450.0,14700.0,468792.0,214575.0,216739.0,True,0.015125472671021045,0.015012223248721313,-0.0027500859401856648,-0.0027538743737967053,0.025782055689240302,0.02545530282845121,-0.0055001718803712185,-0.005515353519065513,0.015125472671021045,0.015012223248721313,0.01792485349879347,0.017766097622518018,0.030970656347516723,0.015012223248721313,0.0,0.0,0.0,100.0,0.006875214850464077,99.72499140598144,102.57820556892403,99.44998281196287,101.5125472671021,0.015012223248720424,-8.881784197001252e-16,-0.16841408185057105,-0.04358719983357773,-0.0070555646514840475,0,,-0.0044120214111949,-0.004402302742973263,-0.0044120214111949,-0.004402302742973263,-0.0006800408286551374,-0.0006798096532970588,-0.0037319805825397623,True
2016-08-02,2016-08-01,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14710.0,14875.0,14450.0,14700.0,468792.0,214575.0,216739.0,14505.0,14920.0,14465.0,14765.0,449694.0,216739.0,226395.0,14505.0,14920.0,14465.0,14765.0,449694.0,216739.0,226395.0,2016-08-03,14710.0,14745.0,14320.0,14505.0,504659.0,232024.0,214575.0,True,-0.004402302742973263,-0.0044120214111949,-0.0037250253979004277,-0.0037319805825397623,0.0074500507958008555,0.007422436235808405,-0.02133423636979348,-0.02156510063744399,-0.004402302742973263,-0.0044120214111949,-0.0006798096532970588,-0.0006800408286551374,0.028987536873252395,-0.0044120214111949,0.0,0.0,0.0,101.5125472671021,0.006875214850464077,101.13441045032657,102.26882090065314,99.34685458920592,101.06565830182193,-0.0044120214111949,0.0,0.04159173121931836,-0.01003449052626415,-0.04358719983357773,0,,-0.013354076211323118,-0.013265306122449028,-0.013354076211323118,-0.013265306122449028,-0.014034117039978256,-0.013936097892590094,0.0006800408286551374,True
2016-08-03,2016-08-02,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14710.0,14745.0,14320.0,14505.0,504659.0,232024.0,214575.0,14710.0,14875.0,14450.0,14700.0,468792.0,214575.0,216739.0,14710.0,14875.0,14450.0,14700.0,468792.0,214575.0,216739.0,2016-08-04,14520.0,14760.0,14355.0,14710.0,440077.0,236064.0,232024.0,True,-0.013265306122449028,-0.013354076211323118,0.0006802721088434716,0.0006800408286551374,0.003061224489795844,0.003056548482549104,-0.025850340136054473,-0.026190332252191695,-0.013265306122449028,-0.013354076211323118,-0.013936097892590094,-0.014034117039978256,0.0292468807347408,-0.013354076211323118,0.0,0.0,0.0,101.06565830182193,0.006875214850464077,101.13441045032657,101.37504297009282,98.45307665864559,99.72499140598144,-0.013354076211323118,0.0,0.07372362879169181,0.07818113651287106,-0.01003449052626415,0,,0.014034117039978256,0.014133057566356522,0.014034117039978256,0.014133057566356522,0.013000525216696701,0.013085399449035862,0.0010335918232815544,True
2016-08-04,2016-08-03,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14520.0,14760.0,14355.0,14710.0,440077.0,236064.0,232024.0,14710.0,14745.0,14320.0,14505.0,504659.0,232024.0,214575.0,14710.0,14745.0,14320.0,14505.0,504659.0,232024.0,214575.0,2016-08-05,14680.0,15175.0,14625.0,15155.0,543514.0,237628.0,236064.0,True,0.014133057566356522,0.014034117039978256,0.0010341261633919352,0.0010335918232815544,0.0175801447776629,0.01742740159895817,-0.010341261633919352,-0.010395104000339828,0.014133057566356522,0.014034117039978256,0.013085399449035862,0.013000525216696701,0.027822505599297997,0.014034117039978256,0.0,0.0,0.0,99.72499140598144,0.006875214850464077,99.82811962873839,101.47817119284977,98.69370917841182,101.13441045032657,0.014034117039978256,0.0,-0.13693295127377425,0.017262066350815175,0.07818113651287106,0,,0.02980297589641978,0.030251529571719837,0.02980297589641978,0.030251529571719837,0.0318444873233954,0.0323569482288828,-0.0020415114269756174,True
2016-08-05,2016-08-04,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14680.0,15175.0,14625.0,15155.0,543514.0,237628.0,236064.0,14520.0,14760.0,14355.0,14710.0,440077.0,236064.0,232024.0,14520.0,14760.0,14355.0,14710.0,440077.0,236064.0,232024.0,2016-08-08,15200.0,15265.0,14750.0,14755.0,474823.0,234696.0,237628.0,True,0.030251529571719837,0.02980297589641978,-0.0020394289598911763,-0.0020415114269756174,0.03161114887831418,0.03112180233221551,-0.005778382053025166,-0.005795141495426037,0.030251529571719837,0.02980297589641978,0.0323569482288828,0.0318444873233954,0.036916943827641546,0.02980297589641978,0.0,0.0,0.0,101.13441045032657,0.006875214850464077,100.92815400481265,104.33138535579236,100.55001718803713,104.19388105878309,0.02980297589642067,8.881784197001252e-16,0.21110532114783886,0.006603443080305027,0.017262066350815175,0,,-0.026748502114863015,-0.026393929396238858,-0.026748502114863015,-0.026393929396238858,-0.029713419457328527,-0.02927631578947365,0.0029649173424655118,True
2016-08-08,2016-08-05,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,15200.0,15265.0,14750.0,14755.0,474823.0,234696.0,237628.0,14680.0,15175.0,14625.0,15155.0,543514.0,237628.0,236064.0,14680.0,15175.0,14625.0,15155.0,543514.0,237628.0,236064.0,2016-08-09,14765.0,14865.0,14525.0,14690.0,464493.0,228599.0,234696.0,True,-0.026393929396238858,-0.026748502114863015,0.0029693170570768146,0.0029649173424655118,0.007258330583965744,0.007232115677075157,-0.026723853513691886,-0.02708742772393613,-0.026393929396238858,-0.026748502114863015,-0.02927631578947365,-0.029713419457328527,0.03431954340101129,-0.026748502114863015,0.0,0.0,0.0,104.19388105878309,0.006875214850464077,104.50326572705397,104.95015469233414,101.40941904434513,101.44379511859745,-0.026748502114863904,-8.881784197001252e-16,-0.13511309601945065,-0.012415313412537543,0.006603443080305027,0,,-0.004415018209117605,-0.004405286343612369,-0.004415018209117605,-0.004405286343612369,-0.0050925250101006014,-0.005079580088046098,0.0006775068009829965,True
2016-08-09,2016-08-08,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14765.0,14865.0,14525.0,14690.0,464493.0,228599.0,234696.0,15200.0,15265.0,14750.0,14755.0,474823.0,234696.0,237628.0,15200.0,15265.0,14750.0,14755.0,474823.0,234696.0,237628.0,2016-08-10,14585.0,14780.0,14450.0,14745.0,424840.0,233651.0,228599.0,True,-0.004405286343612369,-0.004415018209117605,0.0006777363605556808,0.0006775068009829965,0.0074550999661131545,0.007427448055159047,-0.0155879362927821,-0.015710705656927004,-0.004405286343612369,-0.004415018209117605,-0.005079580088046098,-0.0050925250101006014,0.02313815371208605,-0.004415018209117605,0.0,0.0,0.0,101.44379511859745,0.006875214850464077,101.5125472671021,102.2000687521485,99.86249570299071,100.99690615331728,-0.004415018209116717,8.881784197001252e-16,-0.021995568001726085,-0.026321569139328815,-0.012415313412537543,0,,0.003737052081454806,0.0037440435670523797,0.003737052081454806,0.0037440435670523797,0.010910438947554724,0.010970174837161561,-0.007173386866099918,True
2016-08-10,2016-08-09,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14585.0,14780.0,14450.0,14745.0,424840.0,233651.0,228599.0,14765.0,14865.0,14525.0,14690.0,464493.0,228599.0,234696.0,14765.0,14865.0,14525.0,14690.0,464493.0,228599.0,234696.0,2016-08-11,14760.0,14870.0,14660.0,14730.0,280687.0,232577.0,233651.0,True,0.0037440435670523797,0.003737052081454806,-0.007147719537100028,-0.007173386866099918,0.006126616746085833,0.006107925334271513,-0.016337644656228778,-0.01647257562734339,0.0037440435670523797,0.003737052081454806,0.010970174837161561,0.010910438947554724,0.022580500961614902,0.003737052081454806,0.0,0.0,0.0,100.99690615331728,0.006875214850464076,100.27500859401854,101.61567548985904,99.3468545892059,101.3750429700928,0.0037370520814530295,-1.7763568394002505e-15,-0.08923365977739728,0.021859077560774764,-0.026321569139328815,0,,-0.0010178117927015506,-0.0010172939979654627,-0.0010178117927015506,-0.0010172939979654627,-0.0020345886977874983,-0.002032520325203291,0.0010167769050859476,True
2016-08-11,2016-08-10,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14760.0,14870.0,14660.0,14730.0,280687.0,232577.0,233651.0,14585.0,14780.0,14450.0,14745.0,424840.0,233651.0,228599.0,14585.0,14780.0,14450.0,14745.0,424840.0,233651.0,228599.0,2016-08-12,14705.0,14915.0,14600.0,14660.0,356404.0,223669.0,232577.0,True,-0.0010172939979654627,-0.0010178117927015506,0.0010172939979653517,0.0010167769050859476,0.008477449983045116,0.00844171820482309,-0.005764665988470696,-0.005781345808735239,-0.0010172939979654627,-0.0010178117927015506,-0.002032520325203291,-0.0020345886977874983,0.014223064013558329,-0.0010178117927015506,0.0,0.0,0.0,101.3750429700928,0.006875214850464076,101.47817119284976,102.23444482640082,100.79064970780335,101.27191474733584,-0.0010178117927006625,8.881784197001252e-16,-0.41447124909106314,-0.004607176285237102,0.021859077560774764,0,,-0.004763534016033688,-0.004752206381534285,-0.004763534016033688,-0.004752206381534285,-0.003064875547453383,-0.003060183611016676,-0.0016986584685803052,True
2016-08-12,2016-08-11,CF,KQ.m@CZCE.CF,CZCE.CF701,CZCE.CF701,False,14705.0,14915.0,14600.0,14660.0,356404.0,223669.0,232577.0,14760.0,14870.0,14660.0,14730.0,280687.0,232577.0,233651.0,14760.0,14870.0,14660.0,14730.0,280687.0,232577.0,233651.0,2016-08-15,14655.0,14750.0,14525.0,14700.0,269551.0,217686.0,223669.0,True,-0.004752206381534285,-0.004763534016033688,-0.0016972165648336812,-0.0016986584685803052,0.012559402579769285,0.012481187492173973,-0.008825526137135054,-0.008864701760247229,-0.004752206381534285,-0.004763534016033688,-0.003060183611016676,-0.003064875547453383,0.021345889252421202,-0.004763534016033688,0.0,0.0,0.0,101.27191474733584,0.006875214850464076,101.10003437607423,102.5438294946717,100.37813681677551,100.79064970780335,-0.0047635340160328,8.881784197001252e-16,0.2388239924921134,-0.03905390131406783,-0.004607176285237102,0,,0.0027247973261861347,0.0027285129604366354,0.0027247973261861347,0.0027285129604366354,0.0030659196218358886,0.003070624360286489,-0.00034112229564975394,True
